sys_board_id        3        0        4
sys_rev             3        4        4 
sys_rev_rcs         3        8        4  
sys_scratchpad      3        c        4
sys_clkcounter      3       10        4
vdif_interface      3    10000        40
sfp_gpio_data_in        3    60000        4
sfp_gpio_data_out       3    60004        4
sfp_gpio_data_oe        3    60008        4
sfp_gpio_data_ded       3    6000c        4
sfp_mdio_sel        3    60010        4
sfp_op_issue        3    60014        4
sfp_op_type         3    60018        4
sfp_op_addr         3    6001c        4
sfp_op_data         3    60020        4
sfp_op_result       3    60024        4
sfp_op_dbg          3    60028        4
sfp_op_dbg1         3    6002c        4
frm_PPC_0 3 1000000 4
frm_ppc_1 3 1000100 4
ten_Gbe_v2 3 1004000 4000
to_PPC_0 1 1008000 4
